Month,ROC,State
Oct 2020,1047.3870967741937,VA
Nov 2020,1848.1,VA
Dec 2020,3532.935483870968,VA
Jan 2020,0.0,CT
Feb 2020,0.0,CT
Mar 2020,130.29166666666666,CT
Apr 2020,804.7666666666667,CT
May 2020,433.4516129032258,CT
Jun 2020,125.8,CT
Jul 2020,104.45161290322581,CT
Aug 2020,99.0,CT
Sept 2020,151.46666666666667,CT
Oct 2020,434.35483870967744,CT
Nov 2020,1536.2666666666667,CT
Dec 2020,2159.8064516129034,CT
Jan 2020,0.0,IA
Feb 2020,0.0,IA
Mar 2020,20.625,IA
Apr 2020,219.86666666666667,IA
May 2020,378.64516129032256,IA
Jun 2020,312.1,IA
Jul 2020,488.2258064516129,IA
Aug 2020,643.8387096774194,IA
Sept 2020,780.0666666666667,IA
Oct 2020,1235.967741935484,IA
Nov 2020,3317.9,IA
Dec 2020,1569.3548387096773,IA
Jan 2020,0.0,LA
Feb 2020,0.0,LA
Mar 2020,227.65217391304347,LA
Apr 2020,720.6666666666666,LA
May 2020,363.4516129032258,LA
Jun 2020,591.7,LA
Jul 2020,1809.9354838709678,LA
Aug 2020,1048.3870967741937,LA
Sept 2020,595.8333333333334,LA
Oct 2020,601.2903225806451,LA
Nov 2020,1489.8,LA
Dec 2020,2501.1290322580644,LA
Jan 2020,0.0,OH
Feb 2020,0.0,OH
Mar 2020,95.47826086956522,OH
Apr 2020,515.9666666666667,OH
May 2020,540.9677419354839,OH
Jun 2020,526.8333333333334,OH
Jul 2020,1235.2903225806451,OH
Aug 2020,1002.258064516129,OH
Sept 2020,979.2333333333333,OH
Oct 2020,1947.8387096774193,OH
Nov 2020,6735.433333333333,OH
Dec 2020,8718.935483870968,OH
Jan 2020,0.0,MI
Feb 2020,0.0,MI
Mar 2020,346.6818181818182,MI
Apr 2020,1068.5333333333333,MI
May 2020,484.0967741935484,MI
Jun 2020,413.8333333333333,MI
Jul 2020,628.1612903225806,MI
Aug 2020,700.4193548387096,MI
Sept 2020,803.5,MI
Oct 2020,1874.1935483870968,MI
Nov 2020,6362.1,MI
Dec 2020,4269.709677419355,MI
Jan 2020,0.0,SD
Feb 2020,0.0,SD
Mar 2020,4.636363636363637,SD
Apr 2020,77.36666666666666,SD
May 2020,79.61290322580645,SD
Jun 2020,57.666666666666664,SD
Jul 2020,62.516129032258064,SD
Aug 2020,149.74193548387098,SD
Sept 2020,288.0,SD
Oct 2020,737.2903225806451,SD
Nov 2020,1104.6666666666667,SD
Dec 2020,588.7741935483871,SD
Jan 2020,0.0,AR
Feb 2020,0.0,AR
Mar 2020,26.80952380952381,AR
Apr 2020,88.56666666666666,AR
May 2020,127.19354838709677,AR
Jun 2020,444.46666666666664,AR
Jul 2020,687.5483870967741,AR
Aug 2020,582.2903225806451,AR
Sept 2020,740.0,AR
Oct 2020,882.8709677419355,AR
Nov 2020,1476.7333333333333,AR
Dec 2020,2123.516129032258,AR
Jan 2020,0.0,DE
Feb 2020,0.0,DE
Mar 2020,15.142857142857142,DE
Apr 2020,145.53333333333333,DE
May 2020,147.74193548387098,DE
Jun 2020,62.3,DE
Jul 2020,105.74193548387096,DE
Aug 2020,82.3225806451613,DE
Sept 2020,102.6,DE
Oct 2020,134.32258064516128,DE
Nov 2020,350.93333333333334,DE
Dec 2020,681.0645161290323,DE
Jan 2020,0.0,MS
Feb 2020,0.0,MS
Mar 2020,44.57142857142857,MS
Apr 2020,191.4,MS
May 2020,267.38709677419354,MS
Jun 2020,383.2,MS
Jul 2020,995.0645161290323,MS
Aug 2020,744.1612903225806,MS
Sept 2020,486.8666666666667,MS
Oct 2020,686.258064516129,MS
Nov 2020,1092.3333333333333,MS
Dec 2020,1980.6451612903227,MS
Jan 2020,0.0,NM
Feb 2020,0.0,NM
Mar 2020,14.80952380952381,NM
Apr 2020,101.6,NM
May 2020,134.70967741935485,NM
Jun 2020,144.9,NM
Jul 2020,268.51612903225805,NM
